ID,Locality,PricePr,Tenement building,Venue of the sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type,Subtype
9895508,knokke,515000€,No,,2.0,76.0,,No,,,,,,,,,As new,apartment,
9769987,oostende,315000€,No,,2.0,85.0,,,,Yes,,,,,,,,apartment,
10040310,brugge,258195€,No,,2.0,82.0,,,,Yes,,Yes,,,,,,apartment,
10146981,knokke-heist,749500€,No,,3.0,120.0,,No,,,,Yes,,,,,,apartment,
10071043,knokke,675000€,No,,2.0,55.0,,No,,,,,,,2.0,,As new,apartment,
10310640,oostende,565000€,No,,2.0,,,,,Yes,,,,,,,Just renovated,apartment,
9961379,knokke-zoute,1095000€,No,,2.0,88.0,Hyper equipped,,,Yes,,Yes,,,2.0,,As new,apartment,
8993122,middelkerke,225000€,No,,2.0,87.0,Not installed,No,,Yes,,,,,,,,apartment,
10218618,sint-michiels,315000€,No,,3.0,107.0,Installed,No,,,,,,,3.0,,Good,apartment,
9788621,duinbergen,435000€,No,,1.0,57.0,,,,,,,,,,,As new,apartment,
10291266,oudenburg,215000€,No,,2.0,68.0,,No,,,,,,,2.0,,Good,apartment,
10303285,knokke-heist,895000€,No,,2.0,93.0,Hyper equipped,Yes,,Yes,,,,,,,Just renovated,apartment,
10251510,knokke-zoute,675000€,No,,2.0,,Hyper equipped,,,,,,,,3.0,,As new,apartment,
10215306,knokke-heist,1050000€,No,,2.0,,,No,,Yes,,,,,2.0,,As new,apartment,
10308404,torhout,244000€,No,,3.0,122.0,Installed,No,,,,Yes,,,2.0,,,apartment,
10150439,wenduine,595000€,No,,3.0,146.0,,No,,,14.0,,,,,,As new,apartment,
10159697,oostende,245000€,No,,2.0,105.0,,,,Yes,,,,,,,As new,apartment,
10278298,blankenberge,399000€,No,,2.0,80.0,Installed,No,,,,,,,2.0,,,apartment,
9730510,oostende,133000€,No,,2.0,79.0,,No,,,2.0,,,,2.0,,Good,apartment,
10262996,brugge,195000€,No,,2.0,77.0,Sei equipped,No,,,,,,,3.0,,To be done up,apartment,
9949689,oostende,340000€,No,,2.0,76.0,Installed,No,,,6.0,,,,2.0,,As new,apartment,
10146788,oostende,399000€,No,,2.0,103.0,,,,Yes,,,,,,,,apartment,
9287695,knokke,595000€,No,,2.0,73.0,,No,,,,,,,2.0,,Good,apartment,
10043446,knokke,1185000€,No,,3.0,110.0,,No,,Yes,,Yes,,,,,,apartment,
10269887,knokke-heist,1175000€,No,,2.0,78.0,,,,Yes,,,,,,,As new,apartment,
10093972,knokke-heist,565000€,No,,2.0,75.0,Hyper equipped,No,,,,,,,,,As new,apartment,
10160075,oostende,140000€,No,,1.0,50.0,Installed,No,,,,,,,4.0,,Good,apartment,
10298542,knokke,650000€,No,,2.0,78.0,,,,,,,,,,,,apartment,
10287790,blankenberge,195000€,No,,3.0,98.0,,No,,Yes,,,,,2.0,,Good,apartment,
10285103,westkapelle,230000€,No,,1.0,47.0,Installed,No,,,8.0,,,,,,Good,apartment,
10299651,knokke-heist,985000€,No,,2.0,86.0,,No,,Yes,,Yes,,,,,As new,apartment,
10099987,torhout,290000€,No,,3.0,177.0,Installed,No,,,5.0,,,,2.0,,As new,apartment,
10311532,oostende,249000€,No,,2.0,90.0,Installed,No,,,8.0,,,,2.0,,Good,apartment,
10109383,knokke,675000€,No,,2.0,,,,,,,,,,,,,apartment,
10282185,oostende,545000€,No,,2.0,95.0,,,,,10.0,,,,,,As new,apartment,
10274665,knokke,699000€,No,,3.0,119.0,,No,,,,Yes,,,,,As new,apartment,
10046681,blankenberge,358000€,No,,3.0,116.0,Installed,No,,Yes,,,,,2.0,,As new,apartment,
10232535,oostende,139000€,No,,2.0,75.0,Installed,No,,,,,,,2.0,,Good,apartment,
8760672,de-haan,125000€,No,,1.0,,,No,,,,,,,,,Good,apartment,
10058253,knokke,425000€,No,,2.0,65.0,Hyper equipped,,,,,,,,2.0,,As new,apartment,
10307821,blankenberge,344500€,No,,2.0,99.0,Installed,No,,,8.0,,,,2.0,,,apartment,
10294534,oostende,199000€,No,,1.0,50.0,,Yes,,Yes,,Yes,,,,,As new,apartment,
10121810,oostende,299000€,No,,2.0,82.0,Installed,No,,Yes,,,,,2.0,,To be done up,apartment,
10276278,oostende,349000€,No,,3.0,,,,,,,,,,,,,apartment,
10280288,torhout,219000€,No,,2.0,76.0,USA hyper equipped,No,,,50.0,,,,2.0,,Good,apartment,
10137878,blankenberge,115000€,No,,1.0,,,Yes,,,,,,,,,Good,apartment,
10269451,knokke-heist,1350000€,No,,2.0,75.0,Hyper equipped,No,,Yes,,Yes,,,2.0,,Just renovated,apartment,
10222384,oostende,249000€,No,,2.0,94.0,,No,,,,,,,2.0,,Good,apartment,
10267799,wenduine,175000€,No,,1.0,50.0,Installed,Yes,,,,,,,2.0,,Good,apartment,
10081538,oostende,335000€,No,,2.0,,,No,,,,,,,2.0,,As new,apartment,
10210241,oostende,269000€,No,,2.0,90.0,USA installed,No,1.0,Yes,,,,,2.0,,Just renovated,apartment,
10312350,brugge,289000€,No,,3.0,126.0,Installed,No,,,,,,,2.0,,,apartment,
9971513,oostende,130000€,No,,1.0,20.0,Installed,No,,Yes,,,,,,,As new,apartment,
10270941,blankenberge,145000€,No,,1.0,41.0,Hyper equipped,No,,,,,,,,,As new,apartment,
8968083,torhout,217000€,No,,2.0,,,No,,Yes,,,,,,,,apartment,
10106508,oostende,399000€,No,,2.0,84.0,Installed,No,,Yes,,,,,2.0,,Good,apartment,
10288568,knokke,735000€,No,,3.0,90.0,,No,,,,Yes,,,,,,apartment,
10000644,de-haan,865000€,No,,3.0,132.0,Installed,No,,,,,,,,,To be done up,apartment,
10234171,middelkerke,475000€,No,,2.0,80.0,Installed,Yes,,Yes,,,,,,,Good,apartment,
9986600,knokke-heist,795000€,No,,2.0,,,,,Yes,,,,,2.0,,As new,apartment,
10264889,knokke,675000€,No,,2.0,82.0,Hyper equipped,No,,Yes,,,,,2.0,,As new,apartment,
9501906,knokke-heist,4295000€,No,,3.0,163.0,Installed,No,,,17.0,Yes,,,,,,apartment,
10173013,zedelgem,339000€,No,,2.0,102.0,Installed,No,,,11.0,,,,2.0,,,apartment,
10274380,oostende,215000€,No,,1.0,60.0,,,,,,,,,,,Just renovated,apartment,
10081844,oostende,319000€,No,,2.0,106.0,Hyper equipped,No,,Yes,,,,,,,As new,apartment,
10055369,oostende,178000€,No,,,38.0,,No,,,,,,,2.0,,,apartment,
10099988,torhout,280000€,No,,2.0,89.0,Installed,No,,,,,,,2.0,,,apartment,
10312683,knokke,1175000€,No,,2.0,72.0,,,,,,,,,,,As new,apartment,
